PIB Municipal - preços de mercado (preços de 2010)
Sigla,Código,Meso-região,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
MG,3104,Vale do Mucuri,2165018.47501214,2124791.22915769,2198016.15885157,2336353.11390398,2470272.49565401,2595989.92133196,2816420.65688804,2898633.31926049,3172354.426,3139203.6033212,3153273.14463209,3268314.62979589,3332904.71214521,3311746.27733987,3202382.36769278,3084566.61999876,3125668.54734999,3230252.97319554,3277735.64626118,3104005.42353255,
MG,3105,Triângulo Mineiro/Alto Paranaíba,34095566.5586934,36403846.8139527,39869305.3684937,39238426.0538588,41564388.2861341,43311119.9807526,47060546.8915868,46655225.3775895,51462247.607,53504901.8832524,56186415.0427205,57009071.6928509,57721579.3075704,56922220.0258356,57975649.8997959,57675125.7737774,59929398.9109289,59524060.7521178,59828712.9074952,62308392.2175364,
MG,3106,Central Mineira,3999190.84304251,4112325.32576128,4739891.17046922,4812659.59477533,5398582.39449835,5534445.6103133,5185871.01719601,5130341.73433282,5426710.018,5539324.71618431,5724932.8773959,6140869.85768685,6081269.82816759,6190926.73239984,6051051.30379653,6266236.7090254,6830204.22933389,6795480.51420438,7310227.3916896,7420112.41120488,
MG,3107,Metropolitana de Belo Horizonte,99497314.9016657,101231089.284588,110957830.199613,115556063.649818,122477015.121146,133055527.196937,145130937.660778,138498885.853003,160497850.215,168737562.423973,170753379.958968,177277958.562545,168413499.924372,148700390.67259,137977400.317653,141507066.120215,144169383.950602,146739183.508153,141200712.894194,174061862.631638,
MG,3108,Vale do Rio Doce,17485262.7803626,17589544.5209809,20858430.0268196,20264961.9851846,21146152.342546,22725939.2834359,22785479.4602469,20040092.2263949,21285723.408,21348554.8457693,21405427.6082,22209068.8552385,21507794.109513,20495282.5358782,19575344.0844001,20514843.9971519,21320712.1036947,21571115.6043548,20969297.9787617,24457041.4542288,
MG,3109,Oeste de Minas,9053779.39974886,9279448.27513026,10676812.447966,10914260.8424265,11593333.9491473,11932815.7991248,12662549.980331,11869916.308915,13165917.971,14641973.9281327,14976168.0421379,15554642.1038957,15678794.8850943,14963614.8902359,15029503.3882594,15601103.2395257,15458495.9319801,16033848.2674246,15998096.2772326,17728421.8425228,
MG,3110,Sul/Sudoeste de Minas,28591278.8573334,27829339.8861956,31595659.3099757,31811881.3482339,34308146.7566067,34641282.7950318,35751630.6442119,34682208.80124,39023958.798,42095755.0905813,42490253.0324358,42915133.4349965,44612186.2951463,43713107.2089844,43880704.1323656,45423623.1803859,45918123.5198866,47277099.6395103,47497773.2622154,50298624.8665675,
MG,3111,Campo das Vertentes,5262476.4121523,5343936.26982607,5865777.92313129,5730838.9964689,5840764.31456137,6029710.48811377,6330151.14719435,6181595.42923809,6831877.3,7175532.81739341,7271142.36728174,7654566.7178753,7385553.49685364,7073486.89058156,7236696.05110248,7259409.37722602,7340265.24553035,7721122.23787521,7667292.71629759,8051893.5036532,
MG,3112,Zona da Mata,19658075.6748704,19565761.9953664,21228796.4681669,21702537.6201995,22996707.5357495,24200154.7045652,25081021.1420309,24710482.4676598,27426333.195,28377937.2066647,28634487.97047,29176564.7998506,29199820.6779619,28622354.294527,27818563.2993434,28702627.5729545,28009415.1005067,29183059.3686583,27793422.6319264,28219019.1664333,
MS,5001,Pantanais Sul Mato-grossense,2059231.82617147,2313441.1120637,2304855.92554272,2317580.3145988,2656878.5078587,2758513.03668052,3284706.57876426,3077673.7168008,3341316.103,3430306.60562297,3558768.43967269,3692544.25018914,3961827.36591524,3609244.25877745,3277974.75696264,3373252.50977056,3403849.14969883,3196907.16488867,3201848.42028187,3631074.18683731,
